STATUS | wrapper  | 2020/03/09 15:05:47 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/09 15:05:47 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/09 15:05:47 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/09 15:05:47 | 
STATUS | wrapper  | 2020/03/09 15:05:47 | Launching a JVM...
INFO   | jvm 1    | 2020/03/09 15:05:48 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,137 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,137 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,137 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [file:/home/samiullah/workspace/socialive_ivr_engine/jar/logback.xml]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,242 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.rolling.RollingFileAppender]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,246 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [FILE]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,288 |-INFO in ch.qos.logback.core.rolling.FixedWindowRollingPolicy@880ec60 - Will use zip compression
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,298 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,318 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[FILE] - Active log file name: /home/planetbeyond/temp/socialive_ivr_engine.log
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,318 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[FILE] - File property is set to [/home/planetbeyond/temp/socialive_ivr_engine.log]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,319 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,321 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [CONSOLE]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,324 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,331 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to DEBUG
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,331 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [FILE] to Logger[ROOT]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,336 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[ROOT]
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,337 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
INFO   | jvm 1    | 2020/03/09 15:05:48 | 15:05:48,342 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@61a485d2 - Registering current configuration as safe fallback point
INFO   | jvm 1    | 2020/03/09 15:05:48 | 2020-03-09 15:05:48,456 INFO [WrapperStartStopAppMain] EmailServer [EmailServer.java:84] Email sending thread has been started. Make sure that stopEmailServerThread() is called whenever the thread needs to be stopped.
INFO   | jvm 1    | 2020/03/09 15:05:48 | 2020-03-09 15:05:48,461 DEBUG [WrapperStartStopAppMain] DefaultAgiServer [AbstractAgiServer.java:81] Using channelFactory org.asteriskjava.fastagi.internal.DefaultAgiChannelFactory
INFO   | jvm 1    | 2020/03/09 15:05:48 | 2020-03-09 15:05:48,468 INFO [WrapperStartStopAppMain] DefaultAgiServer [DefaultAgiServer.java:315] Listening on *:7374.
INFO   | jvm 1    | 2020/03/09 15:12:19 | 2020-03-09 15:12:19,128 DEBUG [WrapperStartStopAppMain] DefaultAgiServer [DefaultAgiServer.java:340] Received connection from /192.168.7.96
INFO   | jvm 1    | 2020/03/09 15:12:19 | 2020-03-09 15:12:19,135 INFO [WrapperStartStopAppMain] DefaultAgiServer [AbstractAgiServer.java:244] Thread pool started.
INFO   | jvm 1    | 2020/03/09 15:12:19 | 2020-03-09 15:12:19,148 INFO [AJ DaemonPool-1.1] ResourceBundleMappingStrategy [ResourceBundleMappingStrategy.java:183] Added mapping for 'hello2.agi' to class uk.co.planetbeyond.service.inbound.HelloAgiScript2
INFO   | jvm 1    | 2020/03/09 15:12:19 | 2020-03-09 15:12:19,148 INFO [AJ DaemonPool-1.1] ResourceBundleMappingStrategy [ResourceBundleMappingStrategy.java:183] Added mapping for 'hello.agi' to class uk.co.planetbeyond.service.inbound.HelloAgiScript
INFO   | jvm 1    | 2020/03/09 15:12:19 | 2020-03-09 15:12:19,150 INFO [AJ DaemonPool-1.1] ResourceBundleMappingStrategy [ResourceBundleMappingStrategy.java:183] Added mapping for 'save_user_call_duration.agi' to class uk.co.planetbeyond.service.activity.UserActivityHandler
INFO   | jvm 1    | 2020/03/09 15:12:19 | 2020-03-09 15:12:19,152 INFO [AJ DaemonPool-1.1] ResourceBundleMappingStrategy [ResourceBundleMappingStrategy.java:183] Added mapping for 'ivrs-play.agi' to class uk.co.planetbeyond.service.inbound.IvrFiles
